Month;Main Camp;Sialang;Buring;Serindit;Lestari;Ramin
Jan;23.5483871;23;22.61290323;22.90322581;20.22580645;22.96774194
Feb;23.78571429;22.39285714;22.57142857;23.53571429;19.10714286;23.21428571
Mar;23.80645161;22.90322581;22.38709677;22.41935484;19.87096774;24.64516129
Apr;24.53846154;23.1;22.9;22.52;19.96153846;23.79166667
May;25.39285714;23.93548387;23.90322581;22.83870968;20.29032258;22.87096774
Jun;25.93333333;22.96666667;22.86666667;21.9;19.76666667;21.43333333
Jul;25.51612903;22;22;20.90322581;19.67741935;21.22580645
Aug;25.96774194;22.67741935;22.4516129;20.90322581;19.83870968;21.58064516
Sep;30.03333333;23.1;22.63333333;21.6;19.4;21.36666667
Oct;27.4516129;23.70967742;23.12903226;22.64516129;19.61290323;21.80645161
Nov;26.24137931;23.76666667;23.26666667;21.9;19.33333333;23.2
Dec;26.36666667;23.80645161;23.77419355;22.41935484;20.5483871;20.87096774
